Site,Transition,Det.lambda
Devitt,1989-1990,1.073409
Devitt,1990-1991,0.9554202
Devitt,1991-1992,1.119404
Devitt,1992-1993,0.9212035
Devitt,1993-1994,1.250124
Devitt,1994-1995,0.9341328
Devitt,1995-1996,2.404364
Devitt,1996-1997,0.9291207
Devitt,1997-1998,1.012252
Devitt,1998-1999,1.869785
Devitt,1999-2000,0.9351329
Devitt,2000-2001,1.876314
Devitt,2001-2002,1.104271
Devitt,2002-2003,0.9419278
Devitt,2003-2004,1.019257
Devitt,2004-2005,0.9469864
Devitt,2005-2006,0.9334147
Devitt,2006-2007,1.250405
Devitt,2007-2008,0.9847378
Devitt,2008-2009,1.003105
Devitt,2009-2010,0.9145035
Devitt,2010-2011,0.8812288
Devitt,2011-2012,1.386533
Devitt,2012-2013,0.8303629
Devitt,2013-2014,0.935295
Devitt,2014-2015,1.045998
Sheep,1989-1990,1.167578
Sheep,1990-1991,0.9473936
Sheep,1991-1992,2.350877
Sheep,1992-1993,0.8918672
Sheep,1993-1994,2.88315
Sheep,1994-1995,0.9276077
Sheep,1995-1996,2.092104
Sheep,1996-1997,0.8133961
Sheep,1997-1998,0.9269568
Sheep,1998-1999,1.30524
Sheep,1999-2000,1.069548
Sheep,2000-2001,0.9304716
Sheep,2001-2002,2.217314
Sheep,2002-2003,0.9200399
Sheep,2003-2004,1.378972
Sheep,2004-2005,0.8620097
Sheep,2005-2006,1.820334
Sheep,2006-2007,0.8940675
Sheep,2007-2008,1.809731
Sheep,2008-2009,0.9358642
Sheep,2009-2010,1.312162
Sheep,2010-2011,1.118674
Sheep,2011-2012,0.8111491
Sheep,2012-2013,0.6950865
Sheep,2013-2014,0.9558377
Sheep,2014-2015,0.9550866
Haynes,2004-2005,0.679308
Haynes,2005-2006,0.7189888
Haynes,2006-2007,0.7019004
Haynes,2007-2008,1.12477
Haynes,2008-2009,1.011432
Haynes,2009-2010,1.41566
Haynes,2010-2011,1.073179
Haynes,2011-2012,1.391848
Haynes,2012-2013,0.8822532
Haynes,2013-2014,1.034289
Haynes,2014-2015,1.101046
Reservoir,2004-2005,0.96117
Reservoir,2005-2006,1.044859
Reservoir,2006-2007,0.8981176
Reservoir,2007-2008,0.9962798
Reservoir,2008-2009,0.9709861
Reservoir,2009-2010,0.9116468
Reservoir,2010-2011,1.01826
Reservoir,2011-2012,0.891367
Reservoir,2012-2013,0.7633785
Reservoir,2013-2014,1.064547
Reservoir,2014-2015,1.005905
