STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19370601,306,0,0,35,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0.81,0,0,-9999,0,0,2.24,0,0,-9999,0,0,109.0,0,0,46.9,0,0,86.7,0,0,61.3,0,0,73.9,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19370701,518,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0,2.23,0,0,-9999,0,0,4.28,0,0,0.0,0,0,109.0,0,0,57.0,0,0,95.9,0,0,67.5,0,0,81.7,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19370801,608,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2.50,0,0,-9999,0,0,2.58,0,0,-9999,0,0,111.0,0,0,57.9,0,0,99.3,0,0,69.6,0,0,84.6,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19370901,201,0,0,38,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0.72,0,0,-9999,0,0,1.64,0,0,-9999,0,0,99.0,0,0,36.0,0,0,84.4,0,0,56.3,0,0,70.3,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19371001,31,0,0,306,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0.46,0,0,-9999,0,0,1.39,0,0,-9999,0,0,95.0,0,0,28.9,0,0,69.3,0,0,42.8,0,0,56.1,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19380401,16,0,0,403,0,0,0,0,0,1,0,0,0,0,0,9,0,0,4,0,0,2,0,0,1,0,0,1.15,0,0,-9999,0,0,2.44,0,0,-9999,0,0,84.0,0,0,19.9,0,0,63.3,0,0,40.8,0,0,52.0,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19380501,47,0,0,171,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,5,0,0,3,0,0,2.31,0,0,-9999,0,0,8.04,0,0,-9999,0,0,86.0,0,0,28.0,0,0,71.6,0,0,50.2,0,0,61.0,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19380601,231,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0.69,0,0,-9999,0,0,2.73,0,0,-9999,0,0,100.9,0,0,48.9,0,0,84.6,0,0,59.9,0,0,72.3,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19380701,541,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.54,0,0,-9999,0,0,0.94,0,0,0.0,0,0,109.0,0,0,57.0,0,0,97.9,0,0,66.9,0,0,82.4,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19380801,577,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2.06,0,0,-9999,0,0,2.55,0,0,-9999,0,0,109.0,0,0,62.1,0,0,98.2,0,0,68.9,0,0,83.5,0,0
