"","years","months","Site","ppt","tmean"
"1",1981,1,"Haynes",4.84000015258789,-2.79999995231628
"2",1981,2,"Haynes",27.5200004577637,-1.72500002384186
"3",1981,3,"Haynes",23.1800003051758,2.34000015258789
"4",1981,4,"Haynes",30.4500007629395,5.63499975204468
"5",1981,5,"Haynes",92.7900009155273,9.64999961853027
"6",1981,6,"Haynes",48.9099998474121,13.3850002288818
"7",1981,7,"Haynes",8.53999996185303,18.7849998474121
"8",1981,8,"Haynes",6.48999977111816,20
"9",1981,9,"Haynes",14.2799997329712,14.0249996185303
"10",1981,10,"Haynes",17.4200000762939,5.69999980926514
"11",1981,11,"Haynes",37.1199989318848,0.809999942779541
"12",1981,12,"Haynes",43.4599990844727,-4.42999982833862
"13",1982,1,"Haynes",28.7600002288818,-7.59500026702881
"14",1982,2,"Haynes",17.9699993133545,-6.84499979019165
"15",1982,3,"Haynes",41.5099983215332,0.850000143051147
"16",1982,4,"Haynes",38.6300010681152,1.9850001335144
"17",1982,5,"Haynes",47.2900009155273,8.36499977111816
"18",1982,6,"Haynes",40.8300018310547,13.5600004196167
"19",1982,7,"Haynes",35.1800003051758,17.7700004577637
"20",1982,8,"Haynes",21.7099990844727,19.2849998474121
"21",1982,9,"Haynes",49.1300010681152,12.8149995803833
"22",1982,10,"Haynes",31.9500007629395,5.67999982833862
"23",1982,11,"Haynes",8.9399995803833,-2.80999994277954
"24",1982,12,"Haynes",40.2900009155273,-5.76500034332275
"25",1983,1,"Haynes",10.5299997329712,-3.26999998092651
"26",1983,2,"Haynes",15.7700004577637,-1.45999991893768
"27",1983,3,"Haynes",28.5799999237061,2.02500009536743
"28",1983,4,"Haynes",14.7799997329712,3.37000036239624
"29",1983,5,"Haynes",19.0300006866455,8.84000015258789
"30",1983,6,"Haynes",54.5900001525879,13.5299997329712
"31",1983,7,"Haynes",57.3400001525879,17.1849994659424
"32",1983,8,"Haynes",52.8600006103516,19.7049999237061
"33",1983,9,"Haynes",24.75,12.5900001525879
"34",1983,10,"Haynes",26.0100002288818,7.15999984741211
"35",1983,11,"Haynes",45.0099983215332,-0.665000081062317
"36",1983,12,"Haynes",31.6100006103516,-11.8600006103516
"37",1984,1,"Haynes",17.4799995422363,-7.54500007629395
"38",1984,2,"Haynes",11.5500001907349,-5.16499996185303
"39",1984,3,"Haynes",30.75,-0.0949997901916504
"40",1984,4,"Haynes",46.0200004577637,3.67999982833862
"41",1984,5,"Haynes",52.5499992370605,8.65000057220459
"42",1984,6,"Haynes",82.9300003051758,12.5650005340576
"43",1984,7,"Haynes",34.5499992370605,18.8649997711182
"44",1984,8,"Haynes",31.7999992370605,18.8899993896484
"45",1984,9,"Haynes",22.0799999237061,11.4400005340576
"46",1984,10,"Haynes",21.9799995422363,4.57000017166138
"47",1984,11,"Haynes",29.2800006866455,-1.75
"48",1984,12,"Haynes",20.9799995422363,-9.80000019073486
"49",1985,1,"Haynes",14.5600004196167,-8.24499988555908
"50",1985,2,"Haynes",7.92000007629395,-9.44000053405762
"51",1985,3,"Haynes",22.5300006866455,-3.26999998092651
"52",1985,4,"Haynes",7.48999977111816,6.48000049591064
"53",1985,5,"Haynes",50.9900016784668,10.789999961853
"54",1985,6,"Haynes",10.8500003814697,14.9249992370605
"55",1985,7,"Haynes",23.3899993896484,21.0499992370605
"56",1985,8,"Haynes",24.3099994659424,16.3999996185303
"57",1985,9,"Haynes",58.9000015258789,10.2950000762939
"58",1985,10,"Haynes",12.0699996948242,5.14499998092651
"59",1985,11,"Haynes",28.2399997711182,-5.76000022888184
"60",1985,12,"Haynes",12.1400003433228,-9.17500019073486
"61",1986,1,"Haynes",20.9500007629395,-4.61500024795532
"62",1986,2,"Haynes",57.6500015258789,-1.36500000953674
"63",1986,3,"Haynes",16.9799995422363,4.19500017166138
"64",1986,4,"Haynes",32.5200004577637,5.6850004196167
"65",1986,5,"Haynes",37.5800018310547,9.89000034332275
"66",1986,6,"Haynes",29.4300003051758,16.9899997711182
"67",1986,7,"Haynes",32.8499984741211,16.9349994659424
"68",1986,8,"Haynes",41.8600006103516,19.6949996948242
"69",1986,9,"Haynes",53.9000015258789,9.80500030517578
"70",1986,10,"Haynes",13.25,7.1399998664856
"71",1986,11,"Haynes",29.0599994659424,-0.660000085830688
"72",1986,12,"Haynes",7.07999992370605,-5.13000011444092
"73",1987,1,"Haynes",14.9899997711182,-6.26999998092651
"74",1987,2,"Haynes",14.8800001144409,-1.52499997615814
"75",1987,3,"Haynes",21.4899997711182,1.41999983787537
"76",1987,4,"Haynes",8.22999954223633,9.14000034332275
"77",1987,5,"Haynes",67.5999984741211,11.9149990081787
"78",1987,6,"Haynes",29.6700000762939,15.2849998474121
"79",1987,7,"Haynes",65.370002746582,17.0049991607666
"80",1987,8,"Haynes",24.2800006866455,16.2749996185303
